order_lbs,sunny_profit,normal_profit,poor_profit,expected_profit
0,-0.0,-0.0,-0.0,0.0
50000,2086.7999999999993,1922.333333333334,1428.9333333333325,1840.1
100000,4173.5999999999985,3844.666666666668,2857.866666666665,3680.2
150000,6260.4000000000015,5767.0,4286.799999999996,5520.299999999999
200000,8347.199999999997,7689.333333333336,5715.73333333333,7360.4
250000,10434.0,9611.666666666664,7144.666666666664,9200.499999999998
300000,12520.800000000003,11534.0,8573.599999999991,11040.599999999999
350000,14607.599999999991,13456.333333333328,10002.53333333334,12880.699999999997
400000,16694.399999999994,15378.666666666672,11431.46666666666,14720.8
450000,18781.199999999997,17301.0,12860.400000000009,16560.9
500000,20868.0,19223.33333333333,14289.333333333328,18400.999999999996
550000,22954.79999999999,21145.666666666657,15718.266666666663,20241.09999999999
600000,25041.600000000006,23068.0,17147.199999999983,22081.199999999997
650000,27128.399999999994,24990.333333333343,18576.13333333333,23921.300000000003
700000,29215.199999999983,26912.666666666657,20005.06666666668,25761.399999999994
750000,31302.0,28835.0,21434.0,27601.5
800000,33388.79999999999,30757.333333333343,22862.93333333332,29441.6
850000,35475.600000000006,32679.666666666657,24291.86666666667,31281.699999999997
900000,37562.399999999994,34602.0,25720.800000000017,33121.8
950000,39649.19999999998,36524.33333333334,27149.733333333308,34961.899999999994
1000000,41736.0,38446.66666666666,28578.666666666657,36801.99999999999
1050000,43822.79999999999,40369.0,30007.600000000006,38642.1
1100000,45909.59999999998,42291.333333333314,31436.533333333326,40482.19999999998
1150000,47996.399999999965,44213.666666666686,32865.466666666674,42322.3
1200000,50083.20000000001,46136.0,34294.399999999965,44162.399999999994
1250000,52170.0,48058.333333333314,35723.333333333314,46002.499999999985
1300000,54256.79999999999,49980.666666666686,37152.26666666666,47842.600000000006
1350000,56343.59999999998,51903.0,38581.20000000001,49682.7
1400000,58430.399999999965,53825.333333333314,40010.13333333336,51522.79999999999
1450000,60517.20000000001,55747.666666666686,41439.06666666665,53362.90000000001
1500000,62604.0,57670.0,42868.0,55203.0
1550000,64690.79999999999,59592.333333333314,44296.93333333335,57043.09999999999
1600000,66777.59999999998,61514.666666666686,45725.86666666664,58883.2
1650000,68864.39999999997,63437.0,47154.79999999999,60723.29999999999
1700000,70951.20000000001,65359.333333333314,48583.73333333334,62563.399999999994
1750000,73038.0,67281.66666666669,50012.666666666686,64403.500000000015
1800000,75124.79999999999,69204.0,51441.600000000035,66243.6
1850000,77211.59999999998,71126.33333333331,52870.533333333326,68083.69999999998
1900000,79298.39999999997,73048.66666666669,54299.466666666616,69923.79999999999
1950000,81385.19999999995,74971.0,55728.399999999965,71763.89999999998
2000000,83472.0,76893.33333333331,57157.333333333314,73603.99999999999
2050000,85558.79999999999,78815.66666666669,58586.26666666666,75444.1
2100000,87645.59999999998,80738.0,60015.20000000001,77284.2
2150000,89732.39999999997,82660.33333333331,61444.1333333333,79124.29999999997
2200000,91819.19999999995,84582.66666666663,62873.06666666665,80964.39999999997
2250000,93906.0,86505.0,64302.0,82804.5
2300000,95992.79999999993,88427.33333333337,65730.93333333335,84644.6
2350000,98079.59999999998,90349.66666666663,67159.8666666667,86484.69999999998
2400000,100166.40000000002,92272.0,68588.79999999993,88324.79999999999
2450000,102253.19999999995,94194.33333333337,70017.73333333328,90164.9
